IP,HTTP,HTTPS,Status
100.64.0.95,Timeout,Timeout,Timeout
100.64.0.96,Timeout,Timeout,Timeout
100.64.0.98,Timeout,Timeout,Timeout
100.64.0.99,Timeout,Timeout,Timeout
100.64.1.104,OK (302),Erro de conexão,OK
100.64.1.106,Timeout,Timeout,Timeout
100.64.1.107,OK (200),Erro de conexão,OK
100.64.1.108,OK (200),Erro de conexão,OK
100.64.1.109,Timeout,Timeout,Timeout
100.64.1.110,Timeout,Timeout,Timeout
100.64.1.112,OK (200),Erro de conexão,OK
100.64.1.117,Timeout,Timeout,Timeout
100.64.1.119,Timeout,Timeout,Timeout
100.64.1.12,Timeout,Timeout,Timeout
100.64.1.125,OK (200),Erro de conexão,OK
100.64.1.126,Timeout,Timeout,Timeout
100.64.1.128,Timeout,Timeout,Timeout
100.64.1.130,Timeout,Timeout,Timeout
100.64.1.131,OK (200),Erro de conexão,OK
100.64.1.132,Erro de conexão,Erro de conexão,Error
100.64.1.134,OK (200),Erro de conexão,OK
100.64.1.135,Timeout,Timeout,Timeout
100.64.1.137,Timeout,Timeout,Timeout
100.64.1.141,Erro: ChunkedEncodingError,OK (200),OK
100.64.1.142,OK (200),Erro de conexão,OK
100.64.1.144,OK (200),Erro de conexão,OK
100.64.1.146,Erro de conexão,Erro de conexão,Error
100.64.1.147,Timeout,Timeout,Timeout
100.64.1.148,Timeout,Timeout,Timeout
100.64.1.15,OK (200),Erro de conexão,OK
100.64.1.153,Timeout,Timeout,Timeout
100.64.1.158,Timeout,Timeout,Timeout
100.64.1.160,Timeout,Timeout,Timeout
100.64.1.161,OK (200),Erro de conexão,OK
100.64.1.162,OK (200),Erro de conexão,OK
100.64.1.163,Timeout,Timeout,Timeout
100.64.1.164,Timeout,Timeout,Timeout
100.64.1.166,OK (302),Erro de conexão,OK
100.64.1.167,Timeout,Timeout,Timeout
100.64.1.171,OK (200),Erro de conexão,OK
100.64.1.172,Erro de conexão,Erro de conexão,Error
100.64.1.173,OK (200),Erro de conexão,OK
100.64.1.174,OK (200),Erro de conexão,OK
100.64.1.176,Timeout,Timeout,Timeout
100.64.1.179,OK (200),Erro de conexão,OK
100.64.1.180,OK (200),Erro de conexão,OK
100.64.1.183,Timeout,Timeout,Timeout
100.64.1.185,Timeout,Timeout,Timeout
100.64.1.189,Timeout,Timeout,Timeout
100.64.1.19,Erro de conexão,Erro de conexão,Error
100.64.1.191,OK (200),Erro de conexão,OK
100.64.1.192,Erro de conexão,Erro de conexão,Error
100.64.1.196,OK (200),Erro de conexão,OK
100.64.1.198,Timeout,Timeout,Timeout
100.64.1.199,Timeout,Timeout,Timeout
100.64.1.2,OK (200),Erro de conexão,OK
100.64.1.20,Timeout,Timeout,Timeout
100.64.1.201,Erro de conexão,Erro de conexão,Error
100.64.1.202,Timeout,Timeout,Timeout
100.64.1.207,Timeout,Timeout,Timeout
100.64.1.209,Timeout,Timeout,Timeout
100.64.1.214,Timeout,Timeout,Timeout
100.64.1.216,OK (200),Erro de conexão,OK
100.64.1.219,Timeout,Timeout,Timeout
100.64.1.22,Timeout,Timeout,Timeout
100.64.1.220,Timeout,Timeout,Timeout
100.64.1.221,OK (200),Erro de conexão,OK
100.64.1.222,OK (200),Erro de conexão,OK
100.64.1.226,Erro de conexão,Erro de conexão,Error
100.64.1.228,Erro de conexão,Erro de conexão,Error
100.64.1.229,Timeout,Timeout,Timeout
100.64.1.230,Timeout,Timeout,Timeout
100.64.1.233,Timeout,Timeout,Timeout
100.64.1.236,Timeout,Timeout,Timeout
100.64.1.237,OK (302),Erro de conexão,OK
100.64.1.238,Timeout,Timeout,Timeout
100.64.1.242,Erro de conexão,Erro de conexão,Error
100.64.1.243,Timeout,Timeout,Timeout
100.64.1.244,OK (307),Erro de conexão,OK
100.64.1.246,OK (200),Erro de conexão,OK
100.64.1.247,Timeout,Timeout,Timeout
100.64.1.248,OK (200),Erro de conexão,OK
100.64.1.250,Erro de conexão,Erro de conexão,Error
100.64.1.251,Timeout,Timeout,Timeout
100.64.1.252,OK (200),Erro de conexão,OK
100.64.1.27,Timeout,Timeout,Timeout
100.64.1.3,Timeout,Timeout,Timeout
100.64.1.36,Timeout,Timeout,Timeout
100.64.1.37,OK (200),Erro de conexão,OK
100.64.1.38,Timeout,Timeout,Timeout
100.64.1.39,OK (200),Erro de conexão,OK
100.64.1.42,Timeout,Timeout,Timeout
100.64.1.44,Timeout,Timeout,Timeout
100.64.1.5,Timeout,Timeout,Timeout
100.64.1.51,Timeout,Timeout,Timeout
100.64.1.53,OK (200),Erro de conexão,OK
100.64.1.54,OK (200),Erro de conexão,OK
100.64.1.57,OK (200),Erro de conexão,OK
100.64.1.59,OK (200),Erro de conexão,OK
100.64.1.6,Timeout,Timeout,Timeout
100.64.1.62,OK (302),Erro de conexão,OK
100.64.1.65,Timeout,Timeout,Timeout
100.64.1.72,OK (200),Erro de conexão,OK
100.64.1.75,OK (200),Erro de conexão,OK
100.64.1.77,OK (401),Timeout,OK
100.64.1.78,OK (200),Erro de conexão,OK
100.64.1.81,OK (200),Erro de conexão,OK
100.64.1.82,Timeout,Timeout,Timeout
100.64.1.87,Timeout,Timeout,Timeout
100.64.1.88,Timeout,Timeout,Timeout
100.64.1.90,Timeout,Timeout,Timeout
100.64.1.94,Timeout,Timeout,Timeout
100.64.1.96,Timeout,Timeout,Timeout
100.64.10.1,Timeout,Timeout,Timeout
100.64.10.101,OK (302),Erro de conexão,OK
100.64.10.102,Timeout,Timeout,Timeout
100.64.10.105,Timeout,Timeout,Timeout
100.64.10.106,Timeout,Timeout,Timeout
100.64.10.107,Timeout,Timeout,Timeout
100.64.10.108,OK (302),Erro de conexão,OK
100.64.10.109,Timeout,Timeout,Timeout
100.64.10.11,OK (200),Erro de conexão,OK
100.64.10.110,Timeout,Timeout,Timeout
100.64.10.112,OK (200),Erro de conexão,OK
100.64.10.114,Timeout,Timeout,Timeout
100.64.10.117,Timeout,Timeout,Timeout
100.64.10.118,OK (200),Erro de conexão,OK
100.64.10.12,OK (200),Erro de conexão,OK
100.64.10.124,OK (200),Erro de conexão,OK
100.64.10.126,OK (302),Erro de conexão,OK
100.64.10.127,Timeout,Timeout,Timeout
100.64.10.130,Timeout,Timeout,Timeout
100.64.10.131,Timeout,Timeout,Timeout
100.64.10.132,Timeout,Timeout,Timeout
100.64.10.135,Erro de conexão,OK (200),OK
100.64.10.136,Timeout,Timeout,Timeout
100.64.10.138,Erro de conexão,Erro de conexão,Error
100.64.10.14,Timeout,Timeout,Timeout
100.64.10.140,Timeout,Timeout,Timeout
100.64.10.142,OK (200),Erro de conexão,OK
100.64.10.148,Erro de conexão,OK (200),OK
100.64.10.15,Timeout,Timeout,Timeout
100.64.10.155,Timeout,Timeout,Timeout
100.64.10.159,Timeout,Timeout,Timeout
100.64.10.16,Timeout,Timeout,Timeout
100.64.10.160,Erro de conexão,Erro de conexão,Error
100.64.10.161,OK (200),Erro de conexão,OK
100.64.10.166,Timeout,Timeout,Timeout
100.64.10.168,Timeout,Timeout,Timeout
100.64.10.17,Timeout,Timeout,Timeout
100.64.10.174,Timeout,Timeout,Timeout
100.64.10.175,OK (200),Erro de conexão,OK
100.64.10.176,Timeout,Timeout,Timeout
100.64.10.18,Timeout,Timeout,Timeout
100.64.10.180,Erro: ChunkedEncodingError,OK (200),OK
100.64.10.181,OK (200),Erro de conexão,OK
100.64.10.182,Timeout,Timeout,Timeout
100.64.10.183,Timeout,Timeout,Timeout
100.64.10.184,OK (307),Erro de conexão,OK
100.64.10.186,Timeout,Timeout,Timeout
100.64.10.189,OK (302),Erro de conexão,OK
100.64.10.194,OK (200),Erro de conexão,OK
100.64.10.197,OK (200),Erro de conexão,OK
100.64.10.199,Timeout,Timeout,Timeout
100.64.10.2,OK (200),Erro de conexão,OK
100.64.10.200,Erro: ChunkedEncodingError,OK (200),OK
100.64.10.205,Timeout,Timeout,Timeout
100.64.10.206,Erro: ChunkedEncodingError,OK (200),OK
100.64.10.207,Erro de conexão,OK (200),OK
100.64.10.210,OK (200),Erro de conexão,OK
100.64.10.211,Timeout,Timeout,Timeout
100.64.10.213,Timeout,Timeout,Timeout
100.64.10.215,OK (200),Erro de conexão,OK
100.64.10.216,OK (200),Erro de conexão,OK
100.64.10.218,OK (200),Erro de conexão,OK
100.64.10.222,Timeout,Timeout,Timeout
100.64.10.224,Timeout,Timeout,Timeout
100.64.10.225,Erro de conexão,Erro de conexão,Error
100.64.10.226,Timeout,Timeout,Timeout
