IP,HTTP,HTTPS,Status
100.64.17.91,Erro: ChunkedEncodingError,OK (200),OK
100.64.17.96,OK (200),Erro de conexão,OK
100.64.17.97,Timeout,Timeout,Timeout
100.64.17.98,OK (200),Erro de conexão,OK
100.64.18.101,OK (200),Erro de conexão,OK
100.64.18.103,Timeout,Timeout,Timeout
100.64.18.107,Timeout,Timeout,Timeout
100.64.18.108,Timeout,Timeout,Timeout
100.64.18.109,OK (307),Erro de conexão,OK
100.64.18.11,OK (302),Erro de conexão,OK
100.64.18.110,OK (200),Erro de conexão,OK
100.64.18.113,OK (200),Erro de conexão,OK
100.64.18.115,Timeout,Timeout,Timeout
100.64.18.117,Erro de conexão,Erro de conexão,Error
100.64.18.119,Timeout,Timeout,Timeout
100.64.18.12,Timeout,Timeout,Timeout
100.64.18.124,OK (307),Erro de conexão,OK
100.64.18.126,Timeout,Timeout,Timeout
100.64.18.128,OK (200),Erro de conexão,OK
100.64.18.129,OK (200),Erro de conexão,OK
100.64.18.132,Erro de conexão,Erro de conexão,Error
100.64.18.133,OK (200),Erro de conexão,OK
100.64.18.134,OK (200),Erro de conexão,OK
100.64.18.135,Timeout,Timeout,Timeout
100.64.18.137,OK (302),Erro de conexão,OK
100.64.18.138,Timeout,Timeout,Timeout
100.64.18.14,Timeout,Timeout,Timeout
100.64.18.140,Timeout,Timeout,Timeout
100.64.18.142,OK (200),Erro de conexão,OK
100.64.18.144,Timeout,Timeout,Timeout
100.64.18.146,Erro de conexão,OK (200),OK
100.64.18.147,Timeout,Timeout,Timeout
100.64.18.149,Timeout,Timeout,Timeout
100.64.18.150,Timeout,Timeout,Timeout
100.64.18.152,Timeout,Timeout,Timeout
100.64.18.153,Erro de conexão,Erro de conexão,Error
100.64.18.154,Timeout,Timeout,Timeout
100.64.18.158,OK (200),Erro de conexão,OK
100.64.18.161,Timeout,Timeout,Timeout
100.64.18.163,OK (200),Erro de conexão,OK
100.64.18.165,Timeout,Timeout,Timeout
100.64.18.167,OK (200),Erro de conexão,OK
100.64.18.171,Timeout,Timeout,Timeout
100.64.18.173,OK (200),Erro de conexão,OK
100.64.18.178,Timeout,Timeout,Timeout
100.64.18.180,OK (200),Erro de conexão,OK
100.64.18.181,Timeout,Timeout,Timeout
100.64.18.183,OK (200),Erro de conexão,OK
100.64.18.184,OK (200),Erro de conexão,OK
100.64.18.186,Timeout,Timeout,Timeout
100.64.18.187,OK (200),Erro de conexão,OK
100.64.18.188,Timeout,Timeout,Timeout
100.64.18.19,Timeout,Timeout,Timeout
100.64.18.190,Timeout,Timeout,Timeout
100.64.18.191,Timeout,Timeout,Timeout
100.64.18.193,OK (200),Erro de conexão,OK
100.64.18.195,Erro de conexão,Erro de conexão,Error
100.64.18.196,OK (200),Erro de conexão,OK
100.64.18.197,Timeout,Timeout,Timeout
100.64.18.198,Timeout,Timeout,Timeout
100.64.18.199,Timeout,Timeout,Timeout
100.64.18.20,Erro: ChunkedEncodingError,OK (200),OK
100.64.18.201,OK (200),Erro de conexão,OK
100.64.18.203,OK (200),Erro de conexão,OK
100.64.18.204,Timeout,Timeout,Timeout
100.64.18.205,OK (200),Erro de conexão,OK
100.64.18.207,Timeout,Timeout,Timeout
100.64.18.208,OK (302),Erro de conexão,OK
100.64.18.209,OK (200),Erro de conexão,OK
100.64.18.211,Timeout,Timeout,Timeout
100.64.18.212,Timeout,Erro de conexão,Error
100.64.18.215,OK (200),Erro de conexão,OK
100.64.18.216,Timeout,Timeout,Timeout
100.64.18.217,Timeout,Timeout,Timeout
100.64.18.218,Erro: ChunkedEncodingError,OK (200),OK
100.64.18.22,Timeout,Timeout,Timeout
100.64.18.222,Timeout,Timeout,Timeout
100.64.18.224,Timeout,Timeout,Timeout
100.64.18.225,OK (200),Erro de conexão,OK
100.64.18.226,Timeout,Timeout,Timeout
100.64.18.23,Timeout,Timeout,Timeout
100.64.18.230,Timeout,Timeout,Timeout
100.64.18.235,OK (200),Erro de conexão,OK
100.64.18.236,Timeout,Timeout,Timeout
100.64.18.237,Erro de conexão,Erro de conexão,Error
100.64.18.238,OK (200),Erro de conexão,OK
100.64.18.24,Timeout,Timeout,Timeout
100.64.18.240,OK (302),Erro de conexão,OK
100.64.18.242,Timeout,Timeout,Timeout
100.64.18.243,OK (200),Erro de conexão,OK
100.64.18.244,OK (200),Erro de conexão,OK
100.64.18.245,OK (200),Erro de conexão,OK
100.64.18.246,Timeout,Timeout,Timeout
100.64.18.247,Timeout,Timeout,Timeout
100.64.18.248,OK (200),Erro de conexão,OK
100.64.18.250,Erro: ChunkedEncodingError,OK (200),OK
100.64.18.252,Timeout,Timeout,Timeout
100.64.18.253,OK (200),Erro de conexão,OK
100.64.18.255,OK (200),Erro de conexão,OK
100.64.18.26,Timeout,Timeout,Timeout
100.64.18.27,OK (200),Erro de conexão,OK
100.64.18.29,Timeout,Timeout,Timeout
100.64.18.3,Timeout,Timeout,Timeout
100.64.18.31,OK (200),Erro de conexão,OK
100.64.18.32,Timeout,Timeout,Timeout
100.64.18.35,Timeout,Timeout,Timeout
100.64.18.38,Timeout,Timeout,Timeout
100.64.18.4,Timeout,Timeout,Timeout
100.64.18.40,OK (200),Erro de conexão,OK
100.64.18.44,OK (302),Erro de conexão,OK
100.64.18.45,Timeout,Timeout,Timeout
100.64.18.46,Timeout,Timeout,Timeout
100.64.18.5,Timeout,Timeout,Timeout
100.64.18.50,OK (200),Erro de conexão,OK
100.64.18.52,OK (200),Erro de conexão,OK
100.64.18.55,Timeout,Timeout,Timeout
100.64.18.56,Timeout,Timeout,Timeout
100.64.18.58,OK (200),Erro de conexão,OK
100.64.18.6,OK (200),Erro de conexão,OK
100.64.18.60,OK (200),Erro de conexão,OK
100.64.18.64,Timeout,Timeout,Timeout
100.64.18.67,Timeout,Timeout,Timeout
100.64.18.72,Timeout,Timeout,Timeout
100.64.18.73,Timeout,Timeout,Timeout
100.64.18.75,Timeout,Timeout,Timeout
100.64.18.78,OK (200),Erro de conexão,OK
100.64.18.79,Timeout,Timeout,Timeout
100.64.18.80,OK (200),Erro de conexão,OK
100.64.18.82,Erro: ChunkedEncodingError,OK (200),OK
100.64.18.85,Timeout,Timeout,Timeout
100.64.18.86,Timeout,Timeout,Timeout
100.64.18.88,Timeout,Timeout,Timeout
100.64.18.89,OK (200),Erro de conexão,OK
100.64.18.9,Erro de conexão,Erro de conexão,Error
100.64.18.91,OK (302),Erro de conexão,OK
100.64.18.93,OK (200),Erro de conexão,OK
100.64.18.95,OK (200),Erro de conexão,OK
100.64.18.99,Erro de conexão,Erro de conexão,Error
100.64.2.102,Timeout,Timeout,Timeout
100.64.2.104,Timeout,Timeout,Timeout
100.64.2.105,Timeout,Timeout,Timeout
100.64.2.107,OK (200),Erro de conexão,OK
100.64.2.11,Timeout,Timeout,Timeout
100.64.2.110,OK (200),Erro de conexão,OK
100.64.2.112,OK (200),Erro de conexão,OK
100.64.2.114,OK (200),Erro de conexão,OK
100.64.2.116,OK (200),Erro de conexão,OK
100.64.2.117,OK (200),Erro de conexão,OK
100.64.2.118,Timeout,Timeout,Timeout
100.64.2.119,Timeout,Timeout,Timeout
100.64.2.121,Timeout,Timeout,Timeout
100.64.2.122,Erro de conexão,Erro de conexão,Error
100.64.2.124,OK (200),Erro de conexão,OK
100.64.2.126,OK (200),Erro de conexão,OK
100.64.2.128,Timeout,Timeout,Timeout
100.64.2.129,OK (302),Erro de conexão,OK
100.64.2.130,Timeout,Timeout,Timeout
100.64.2.132,OK (200),Erro de conexão,OK
100.64.2.133,Timeout,Timeout,Timeout
100.64.2.138,OK (200),Erro de conexão,OK
100.64.2.140,OK (200),Erro de conexão,OK
100.64.2.143,Timeout,Timeout,Timeout
100.64.2.145,Timeout,Timeout,Timeout
100.64.2.146,OK (307),Erro de conexão,OK
100.64.2.15,Timeout,Timeout,Timeout
100.64.2.151,OK (200),Erro de conexão,OK
100.64.2.152,OK (200),Erro de conexão,OK
100.64.2.155,Erro de conexão,Erro de conexão,Error
100.64.2.159,Erro de conexão,Erro de conexão,Error
100.64.2.16,OK (302),Erro de conexão,OK
100.64.2.160,Timeout,Timeout,Timeout
100.64.2.161,Timeout,Timeout,Timeout
100.64.2.162,OK (200),Erro de conexão,OK
100.64.2.163,OK (200),Erro de conexão,OK
100.64.2.174,Timeout,Timeout,Timeout
100.64.2.176,Timeout,Timeout,Timeout
100.64.2.180,OK (200),Erro de conexão,OK
100.64.2.183,Timeout,Timeout,Timeout
100.64.2.184,Timeout,Timeout,Timeout
100.64.2.185,OK (200),Erro de conexão,OK
100.64.2.186,Timeout,Timeout,Timeout
100.64.2.19,OK (200),Erro de conexão,OK
100.64.2.190,Timeout,Timeout,Timeout
100.64.2.193,Erro de conexão,Erro de conexão,Error
100.64.2.194,Timeout,Timeout,Timeout
100.64.2.195,Timeout,Timeout,Timeout
100.64.2.196,Timeout,Timeout,Timeout
100.64.2.199,Timeout,Timeout,Timeout
100.64.2.2,Timeout,Timeout,Timeout
100.64.2.201,Timeout,Timeout,Timeout
100.64.2.203,Timeout,Timeout,Timeout
100.64.2.204,Erro de conexão,Erro de conexão,Error
100.64.2.205,OK (200),Erro de conexão,OK
100.64.2.206,Timeout,Timeout,Timeout
100.64.2.21,Erro: ChunkedEncodingError,OK (200),OK
100.64.2.211,OK (307),Erro de conexão,OK
100.64.2.212,OK (200),Erro de conexão,OK
100.64.2.213,Timeout,Timeout,Timeout
100.64.2.217,OK (302),Erro de conexão,OK
100.64.2.218,OK (200),Erro de conexão,OK
100.64.2.219,OK (200),Erro de conexão,OK
100.64.2.22,OK (200),Erro de conexão,OK
100.64.2.221,OK (200),Erro de conexão,OK
100.64.2.222,OK (200),Erro de conexão,OK
100.64.2.223,Timeout,Timeout,Timeout
100.64.2.224,OK (200),Erro de conexão,OK
100.64.2.226,Timeout,Timeout,Timeout
100.64.2.228,OK (200),Erro de conexão,OK
100.64.2.231,OK (200),Erro de conexão,OK
100.64.2.232,Timeout,Timeout,Timeout
100.64.2.239,Timeout,Timeout,Timeout
100.64.2.24,OK (200),Erro de conexão,OK
100.64.2.240,Timeout,Timeout,Timeout
100.64.2.241,Timeout,Timeout,Timeout
100.64.2.244,Timeout,Timeout,Timeout
100.64.2.247,OK (200),Erro de conexão,OK
100.64.2.248,Timeout,Timeout,Timeout
100.64.2.252,Timeout,Timeout,Timeout
100.64.2.253,Erro de conexão,Erro de conexão,Error
100.64.2.254,Timeout,Timeout,Timeout
100.64.2.26,Erro: ChunkedEncodingError,OK (200),OK
100.64.2.27,OK (200),Erro de conexão,OK
100.64.2.3,Erro de conexão,Erro de conexão,Error
100.64.2.31,OK (200),Erro de conexão,OK
100.64.2.32,Erro de conexão,Erro de conexão,Error
100.64.2.33,OK (302),Erro de conexão,OK
100.64.2.36,Timeout,Timeout,Timeout
100.64.2.38,OK (200),Erro de conexão,OK
100.64.2.43,OK (200),Erro de conexão,OK
100.64.2.44,OK (200),Erro de conexão,OK
100.64.2.46,OK (200),Erro de conexão,OK
100.64.2.47,OK (200),Erro de conexão,OK
100.64.2.48,Timeout,Timeout,Timeout
100.64.2.49,Timeout,Timeout,Timeout
100.64.2.51,OK (200),Erro de conexão,OK
100.64.2.53,Timeout,Timeout,Timeout
100.64.2.62,Timeout,Timeout,Timeout
100.64.2.65,OK (200),Erro de conexão,OK
100.64.2.68,Erro de conexão,Erro de conexão,Error
100.64.2.7,Timeout,Timeout,Timeout
100.64.2.71,Timeout,Timeout,Timeout
100.64.2.72,Erro: ChunkedEncodingError,OK (200),OK
100.64.2.73,Erro: ChunkedEncodingError,OK (200),OK
100.64.2.75,OK (200),Erro de conexão,OK
100.64.2.78,OK (200),Erro de conexão,OK
100.64.2.8,Timeout,Timeout,Timeout
100.64.2.83,Erro de conexão,OK (200),OK
100.64.2.84,OK (307),Erro de conexão,OK
100.64.2.85,Timeout,Timeout,Timeout
100.64.2.88,Timeout,Timeout,Timeout
100.64.2.90,Timeout,Timeout,Timeout
100.64.2.91,Timeout,Timeout,Timeout
100.64.2.93,OK (200),Erro de conexão,OK
100.64.2.94,OK (302),Erro de conexão,OK
100.64.2.96,Timeout,Timeout,Timeout
100.64.2.97,Timeout,Timeout,Timeout
100.64.2.99,Timeout,Timeout,Timeout
100.64.24.0,Timeout,Timeout,Timeout
100.64.24.10,OK (200),Erro de conexão,OK
100.64.24.102,OK (302),Erro de conexão,OK
100.64.24.106,OK (302),Erro de conexão,OK
100.64.24.109,OK (200),Erro de conexão,OK
100.64.24.111,Timeout,Timeout,Timeout
100.64.24.116,Timeout,Timeout,Timeout
100.64.24.12,OK (200),Erro de conexão,OK
100.64.24.121,Timeout,Timeout,Timeout
100.64.24.122,OK (200),Erro de conexão,OK
100.64.24.126,Timeout,Timeout,Timeout
100.64.24.129,OK (200),Erro de conexão,OK
100.64.24.13,OK (200),Erro de conexão,OK
100.64.24.131,Timeout,Timeout,Timeout
100.64.24.134,OK (200),Erro de conexão,OK
100.64.24.135,Timeout,Timeout,Timeout
100.64.24.136,OK (200),Erro de conexão,OK
100.64.24.137,OK (200),Erro de conexão,OK
100.64.24.138,Timeout,Timeout,Timeout
100.64.24.140,Erro de conexão,Erro de conexão,Error
100.64.24.141,OK (200),Erro de conexão,OK
100.64.24.142,OK (200),Erro de conexão,OK
100.64.24.143,OK (200),Erro de conexão,OK
100.64.24.146,Timeout,Timeout,Timeout
100.64.24.15,Timeout,Timeout,Timeout
100.64.24.151,OK (200),Erro de conexão,OK
100.64.24.152,Timeout,Timeout,Timeout
100.64.24.153,OK (200),Erro de conexão,OK
100.64.24.155,Timeout,Timeout,Timeout
100.64.24.158,OK (200),Erro de conexão,OK
100.64.24.161,OK (200),Erro de conexão,OK
100.64.24.162,Timeout,Timeout,Timeout
100.64.24.165,OK (302),Erro de conexão,OK
100.64.24.166,OK (302),Erro de conexão,OK
100.64.24.167,Timeout,Timeout,Timeout
100.64.24.168,Timeout,Timeout,Timeout
100.64.24.169,Timeout,Timeout,Timeout
100.64.24.170,OK (200),Erro de conexão,OK
100.64.24.172,Timeout,Timeout,Timeout
100.64.24.174,Timeout,Timeout,Timeout
100.64.24.176,OK (302),Erro de conexão,OK
100.64.24.18,Erro de conexão,Erro de conexão,Error
100.64.24.180,OK (200),Erro de conexão,OK
100.64.24.181,OK (200),Erro de conexão,OK
100.64.24.182,OK (200),Erro de conexão,OK
100.64.24.189,OK (200),Erro de conexão,OK
100.64.24.192,Timeout,Timeout,Timeout
100.64.24.195,Timeout,Timeout,Timeout
100.64.24.196,Timeout,Timeout,Timeout
100.64.24.197,OK (200),Erro de conexão,OK
100.64.24.198,Timeout,Timeout,Timeout
100.64.24.20,OK (200),Erro de conexão,OK
100.64.24.201,OK (200),Erro de conexão,OK
100.64.24.203,Timeout,Timeout,Timeout
100.64.24.205,Timeout,Timeout,Timeout
100.64.24.209,Erro: ChunkedEncodingError,OK (200),OK
100.64.24.212,Timeout,Timeout,Timeout
100.64.24.213,Timeout,Timeout,Timeout
100.64.24.220,Timeout,Timeout,Timeout
100.64.24.221,Timeout,Timeout,Timeout
100.64.24.222,OK (200),Erro de conexão,OK
100.64.24.223,OK (200),Erro de conexão,OK
100.64.24.226,Timeout,Timeout,Timeout
100.64.24.228,Timeout,Timeout,Timeout
100.64.24.230,Timeout,Timeout,Timeout
100.64.24.232,OK (200),Erro de conexão,OK
100.64.24.234,Timeout,Timeout,Timeout
100.64.24.237,OK (200),Erro de conexão,OK
100.64.24.238,Timeout,Timeout,Timeout
100.64.24.239,Timeout,Timeout,Timeout
100.64.24.24,Erro de conexão,Erro de conexão,Error
100.64.24.240,OK (200),Erro de conexão,OK
100.64.24.241,Timeout,Timeout,Timeout
100.64.24.247,OK (200),Erro de conexão,OK
100.64.24.248,Timeout,Timeout,Timeout
100.64.24.249,Timeout,Timeout,Timeout
100.64.24.250,Timeout,Timeout,Timeout
100.64.24.251,Timeout,Timeout,Timeout
100.64.24.252,Timeout,Timeout,Timeout
100.64.24.254,Timeout,Timeout,Timeout
100.64.24.255,Timeout,Timeout,Timeout
100.64.24.29,OK (200),Erro de conexão,OK
100.64.24.30,Timeout,Timeout,Timeout
100.64.24.31,Timeout,Timeout,Timeout
100.64.24.34,OK (200),Erro de conexão,OK
100.64.24.35,Timeout,Timeout,Timeout
100.64.24.36,Timeout,Timeout,Timeout
100.64.24.38,Timeout,Timeout,Timeout
100.64.24.4,Timeout,Timeout,Timeout
100.64.24.41,OK (200),Erro de conexão,OK
100.64.24.42,Timeout,Timeout,Timeout
100.64.24.43,OK (200),Erro de conexão,OK
100.64.24.45,OK (200),Erro de conexão,OK
100.64.24.48,OK (200),Erro de conexão,OK
100.64.24.49,OK (200),Erro de conexão,OK
100.64.24.50,Timeout,Timeout,Timeout
100.64.24.51,Erro de conexão,Erro de conexão,Error
100.64.24.54,Erro de conexão,Erro de conexão,Error
100.64.24.57,OK (200),Erro de conexão,OK
100.64.24.59,OK (200),Erro de conexão,OK
100.64.24.60,Timeout,Timeout,Timeout
100.64.24.61,Timeout,Timeout,Timeout
100.64.24.62,Timeout,Timeout,Timeout
100.64.24.63,Timeout,Timeout,Timeout
100.64.24.65,Erro de conexão,Erro de conexão,Error
100.64.24.67,Timeout,Timeout,Timeout
100.64.24.7,OK (200),Erro de conexão,OK
100.64.24.71,Erro de conexão,Erro de conexão,Error
100.64.24.74,Timeout,Timeout,Timeout
100.64.24.75,OK (302),Erro de conexão,OK
100.64.24.76,Timeout,Timeout,Timeout
100.64.24.77,Erro de conexão,OK (200),OK
100.64.24.78,OK (200),Erro de conexão,OK
100.64.24.79,OK (200),Erro de conexão,OK
100.64.24.80,Timeout,Timeout,Timeout
100.64.24.82,OK (200),Erro de conexão,OK
100.64.24.83,Timeout,Timeout,Timeout
100.64.24.85,OK (200),Erro de conexão,OK
100.64.24.86,Erro de conexão,Erro de conexão,Error
100.64.24.87,Timeout,Timeout,Timeout
100.64.24.9,Erro de conexão,Erro de conexão,Error
100.64.24.94,Timeout,Timeout,Timeout
100.64.24.95,Timeout,Timeout,Timeout
100.64.24.96,Timeout,Timeout,Timeout
100.64.24.97,Timeout,Timeout,Timeout
100.64.25.0,OK (200),Erro de conexão,OK
100.64.25.100,OK (200),Erro de conexão,OK
100.64.25.101,Timeout,Timeout,Timeout
100.64.25.108,OK (200),Erro de conexão,OK
100.64.25.11,Timeout,Timeout,Timeout
100.64.25.110,OK (200),Erro de conexão,OK
100.64.25.111,OK (302),Erro de conexão,OK
100.64.25.114,Timeout,Timeout,Timeout
100.64.25.115,Timeout,Timeout,Timeout
100.64.25.116,Timeout,Timeout,Timeout
100.64.25.119,OK (200),Erro de conexão,OK
100.64.25.12,OK (200),Erro de conexão,OK
100.64.25.120,Timeout,Timeout,Timeout
100.64.25.121,Timeout,Timeout,Timeout
100.64.25.123,Timeout,Timeout,Timeout
100.64.25.126,OK (200),Erro de conexão,OK
100.64.25.128,Timeout,Timeout,Timeout
100.64.25.129,OK (200),Erro de conexão,OK
100.64.25.13,Timeout,Timeout,Timeout
100.64.25.131,Timeout,Timeout,Timeout
100.64.25.132,OK (200),Erro de conexão,OK
100.64.25.133,Timeout,Timeout,Timeout
100.64.25.135,Timeout,Timeout,Timeout
100.64.25.137,Timeout,Timeout,Timeout
100.64.25.138,Timeout,Timeout,Timeout
100.64.25.14,OK (200),Erro de conexão,OK
100.64.25.144,Timeout,Timeout,Timeout
100.64.25.149,Timeout,Timeout,Timeout
100.64.25.151,OK (302),Erro de conexão,OK
100.64.25.152,Timeout,Timeout,Timeout
100.64.25.153,OK (302),Erro de conexão,OK
100.64.25.154,Timeout,Timeout,Timeout
100.64.25.156,OK (200),Erro de conexão,OK
100.64.25.158,Timeout,Timeout,Timeout
100.64.25.162,OK (200),Erro de conexão,OK
100.64.25.166,OK (200),Erro de conexão,OK
100.64.25.168,OK (200),Erro de conexão,OK
100.64.25.17,Timeout,Timeout,Timeout
100.64.25.170,Timeout,Timeout,Timeout
100.64.25.173,Timeout,Timeout,Timeout
100.64.25.174,Timeout,Timeout,Timeout
100.64.25.175,Timeout,Timeout,Timeout
100.64.25.176,Timeout,Timeout,Timeout
100.64.25.183,Timeout,Timeout,Timeout
100.64.25.184,Timeout,Timeout,Timeout
100.64.25.185,Timeout,Timeout,Timeout
100.64.25.186,OK (200),Erro de conexão,OK
100.64.25.187,Timeout,Timeout,Timeout
100.64.25.189,OK (200),Erro de conexão,OK
100.64.25.190,OK (200),Erro de conexão,OK
100.64.25.192,Timeout,Timeout,Timeout
100.64.25.194,Erro: ChunkedEncodingError,OK (200),OK
100.64.25.196,Timeout,Timeout,Timeout
100.64.25.202,OK (200),Erro de conexão,OK
100.64.25.203,OK (200),Erro de conexão,OK
100.64.25.205,Timeout,Timeout,Timeout
100.64.25.21,Timeout,Timeout,Timeout
100.64.25.213,Timeout,Timeout,Timeout
100.64.25.216,Timeout,Timeout,Timeout
100.64.25.218,OK (200),Erro de conexão,OK
100.64.25.219,Timeout,Timeout,Timeout
100.64.25.221,OK (200),Erro de conexão,OK
100.64.25.222,OK (200),Erro de conexão,OK
100.64.25.225,OK (302),Erro de conexão,OK
100.64.25.228,Timeout,Timeout,Timeout
100.64.25.229,Timeout,Timeout,Timeout
100.64.25.23,OK (302),Erro de conexão,OK
100.64.25.232,Erro de conexão,Erro de conexão,Error
100.64.25.235,Timeout,Timeout,Timeout
100.64.25.237,Timeout,Timeout,Timeout
100.64.25.238,OK (200),Erro de conexão,OK
100.64.25.24,OK (200),Erro de conexão,OK
100.64.25.242,Timeout,Timeout,Timeout
100.64.25.243,Timeout,Timeout,Timeout
100.64.25.245,Timeout,Timeout,Timeout
100.64.25.25,Timeout,Timeout,Timeout
100.64.25.250,Timeout,Timeout,Timeout
100.64.25.253,OK (200),Erro de conexão,OK
100.64.25.255,Timeout,Timeout,Timeout
100.64.25.26,Timeout,Timeout,Timeout
100.64.25.27,OK (200),Erro de conexão,OK
100.64.25.29,Erro de conexão,Erro de conexão,Error
100.64.25.3,OK (200),Erro de conexão,OK
100.64.25.31,Timeout,Timeout,Timeout
100.64.25.33,OK (200),Erro de conexão,OK
100.64.25.35,OK (200),Erro de conexão,OK
100.64.25.36,Timeout,Timeout,Timeout
100.64.25.37,Timeout,Timeout,Timeout
100.64.25.39,OK (200),Erro de conexão,OK
100.64.25.4,Timeout,Timeout,Timeout
100.64.25.41,Timeout,Timeout,Timeout
100.64.25.42,OK (200),Erro de conexão,OK
100.64.25.45,Timeout,Timeout,Timeout
100.64.25.47,OK (200),Erro de conexão,OK
100.64.25.48,OK (200),Erro de conexão,OK
100.64.25.52,Timeout,Timeout,Timeout
100.64.25.53,Timeout,Timeout,Timeout
100.64.25.54,Timeout,Timeout,Timeout
100.64.25.56,Timeout,Timeout,Timeout
100.64.25.59,Timeout,Timeout,Timeout
100.64.25.60,OK (200),Erro de conexão,OK
100.64.25.62,OK (200),Erro de conexão,OK
100.64.25.63,OK (200),Erro de conexão,OK
100.64.25.70,Timeout,Timeout,Timeout
100.64.25.72,Erro de conexão,Erro de conexão,Error
100.64.25.73,Erro de conexão,Erro de conexão,Error
100.64.25.75,Timeout,Timeout,Timeout
100.64.25.77,OK (200),Erro de conexão,OK
100.64.25.79,Timeout,Timeout,Timeout
100.64.25.8,OK (200),Erro de conexão,OK
100.64.25.80,Timeout,Timeout,Timeout
100.64.25.82,OK (200),Erro de conexão,OK
100.64.25.85,Erro: ChunkedEncodingError,OK (200),OK
100.64.25.86,OK (302),Erro de conexão,OK
100.64.25.92,OK (200),Erro de conexão,OK
100.64.25.94,Timeout,Timeout,Timeout
100.64.25.95,OK (200),Erro de conexão,OK
100.64.25.97,Timeout,Timeout,Timeout
100.64.26.1,Timeout,Timeout,Timeout
100.64.26.11,OK (200),Erro de conexão,OK
100.64.26.123,Timeout,Timeout,Timeout
100.64.26.135,Erro de conexão,Erro de conexão,Error
100.64.26.137,Erro de conexão,OK (200),OK
100.64.26.140,Timeout,Timeout,Timeout
100.64.26.143,Timeout,Timeout,Timeout
100.64.26.144,Timeout,Timeout,Timeout
100.64.26.15,OK (200),Erro de conexão,OK
100.64.26.158,Timeout,Timeout,Timeout
100.64.26.168,Timeout,Timeout,Timeout
100.64.26.176,Timeout,Timeout,Timeout
100.64.26.179,Erro de conexão,Erro de conexão,Error
100.64.26.18,Timeout,Timeout,Timeout
100.64.26.182,Erro de conexão,OK (200),OK
100.64.26.186,OK (200),Erro de conexão,OK
100.64.26.187,Timeout,Timeout,Timeout
100.64.26.188,OK (200),Erro de conexão,OK
100.64.26.195,Timeout,Timeout,Timeout
100.64.26.200,OK (307),Erro de conexão,OK
100.64.26.203,Timeout,Timeout,Timeout
100.64.26.207,Timeout,Timeout,Timeout
100.64.26.21,Timeout,Timeout,Timeout
100.64.26.214,Timeout,Timeout,Timeout
100.64.26.217,OK (200),Erro de conexão,OK
100.64.26.219,Erro de conexão,Erro de conexão,Error
100.64.26.222,Timeout,Timeout,Timeout
100.64.26.223,OK (200),Erro de conexão,OK
100.64.26.233,OK (302),Erro de conexão,OK
100.64.26.235,OK (200),Erro de conexão,OK
100.64.26.241,Timeout,Timeout,Timeout
100.64.26.245,Erro de conexão,Erro de conexão,Error
100.64.26.25,Erro: ChunkedEncodingError,OK (200),OK
100.64.26.252,OK (200),Erro de conexão,OK
100.64.26.26,Timeout,Timeout,Timeout
100.64.26.3,Timeout,Timeout,Timeout
100.64.26.30,OK (200),Erro de conexão,OK
100.64.26.38,Timeout,Timeout,Timeout
100.64.26.4,OK (200),Erro de conexão,OK
100.64.26.41,OK (302),Erro de conexão,OK
100.64.26.42,OK (200),Erro de conexão,OK
100.64.26.45,Timeout,Timeout,Timeout
100.64.26.5,OK (200),Erro de conexão,OK
100.64.26.56,OK (200),Erro de conexão,OK
100.64.26.63,Timeout,Timeout,Timeout
100.64.26.65,Timeout,Timeout,Timeout
100.64.26.67,Timeout,Timeout,Timeout
100.64.26.68,Timeout,Timeout,Timeout
100.64.26.71,OK (200),Erro de conexão,OK
100.64.26.83,OK (200),Erro de conexão,OK
100.64.26.89,Timeout,Timeout,Timeout
100.64.26.9,Timeout,Timeout,Timeout
100.64.26.94,OK (302),Erro de conexão,OK
100.64.8.1,Timeout,Timeout,Timeout
100.64.8.100,Timeout,Timeout,Timeout
100.64.8.101,Timeout,Timeout,Timeout
100.64.8.102,OK (200),Erro de conexão,OK
100.64.8.103,Timeout,Timeout,Timeout
100.64.8.104,Timeout,Timeout,Timeout
100.64.8.105,Timeout,Timeout,Timeout
100.64.8.108,OK (200),Erro de conexão,OK
100.64.8.109,Timeout,Timeout,Timeout
100.64.8.11,OK (200),Erro de conexão,OK
100.64.8.113,Timeout,Timeout,Timeout
100.64.8.114,Timeout,Timeout,Timeout
100.64.8.115,OK (200),Erro de conexão,OK
100.64.8.121,Timeout,Timeout,Timeout
100.64.8.123,Timeout,Timeout,Timeout
100.64.8.124,Timeout,Timeout,Timeout
100.64.8.126,OK (200),Erro de conexão,OK
100.64.8.127,Timeout,Timeout,Timeout
100.64.8.128,Timeout,Timeout,Timeout
100.64.8.129,OK (200),Erro de conexão,OK
100.64.8.13,Timeout,Timeout,Timeout
100.64.8.132,Timeout,Timeout,Timeout
100.64.8.133,Timeout,Timeout,Timeout
100.64.8.135,Erro de conexão,Erro de conexão,Error
100.64.8.137,Timeout,Timeout,Timeout
100.64.8.140,OK (401),Timeout,OK
100.64.8.143,OK (200),Erro de conexão,OK
100.64.8.144,OK (302),Erro de conexão,OK
100.64.8.146,OK (302),Erro de conexão,OK
100.64.8.147,OK (200),Erro de conexão,OK
100.64.8.148,OK (200),Timeout,OK
100.64.8.149,Erro de conexão,Erro de conexão,Error
100.64.8.153,OK (307),Erro de conexão,OK
100.64.8.155,OK (200),Erro de conexão,OK
